song,artist,release_year,composed,genre,appearances,also_performed_by,rating
ono,Dan the Automator,1996,Dan Nakamura,None,2,0,4
(Listen to The) Flower People,Spinal Tap,1984,Christopher Guest,Pop/Rock,1,100,4.575
Have Yourself a Merry Little Christmas,Judy Garland,1944,Ralph Blane,Jazz,140,1295,3.748717949
A Dying Cub Fan's Last Request,Steve Goodman,1984,Steve Goodman,Pop/Rock,3,200,4.5
"""A Place For My Stuff""",George Carlin,1981,George Carlin,None,1,0,4
A Fi Eni Oluwa Koyo (He Who God Delivers),Ebenezer Obey,1985,None,International,1,655,5
Silent Night,Vienna Boys' Choir,1930,Franz Gruber,Classical,8,0,1.9
(Hey Baby) Que Paso,Jimmy Sturr,1997,Augie Meyers,None,2,8,4
(How Much Is) That Hound Dog in the Window,Homer & Jethro,1993,Bob Merrill,None,1,0,2
Amazing Grace,Judy Collins,1970,John Newton,Folk,18,0,2.2
White Christmas,Bing Crosby,1945,Irving Berlin,Holiday,417,0,3.361111111
White Christmas,Bing Crosby,1945,Irving Berlin,Holiday,417,0,3.361111111
A Taste of Honey,Herb Alpert & the Tijuana Brass,1965,Burt Bacharach,Easy,1,700,5
Amazing Grace,The Statler Brothers,2000,John Newton,Country,5,0,3.133333333
(Now and Then There's) A Fool Such as I,Hank Snow,1991,Aileen Mnich,None,21,0,None
(Take Me To) Aruanda,Astrud Gilberto,1965,Norman Gimbel,None,11,1,3.583333333
(Talk to Me Of) Mendocino,Kate & Anna McGarrigle / Martha Wainwright / Rufus Wainwright,1998,Kate McGarrigle,None,3,6,4.25
My Funny Valentine,Jackie Gleason,1953,Lorenz Hart,Easy,6,1,3.3
Amazing Grace,Judy Collins,1970,John Newton,Folk,18,0,2.2
10 in the Bed,Fred Penner,2007,Fred Penner,None,2,0,None
12-String Guitar Rag,Bob Gibson,1964,Bob Gibson,None,2,0,4
12-String Guitar Rag,Bob Gibson,1964,Bob Gibson,None,2,0,4
